Username,Comment,vader_sentiment
@silverdart333,Agh I will never forget unboxing my first iPod the nano 4g!,1
@ShradaTuladhar,This was my first apple product :),1
@123Strum1,"Man i have that exact ipod,I want 2 buy the 3rd gen of ebay but 4 now I'm saving up 4 the ipod touch :)",1
@janska7930,12 years later and i'm going to buy one of these ,1
@jessicahyun2425,amazing,1
@asadilyas10,I CANT BELIEVE IM STILL WACTHING THIS,1
@socratitties,Nice!,1
@nct_exx,"i only have one apple product and its the ipod shuffle 4g, i wish i had as much apple products as you",1
@ryan70474,hahaha ! i want that ipod :c ,1
@bartoelsimpson,My first fav c':,1
@rushikeshpandya6997,goooodddd,1
@deloriz9734,iphone 7 please,1
@sunsethyphen,Dog in the backround,1
@paulwhite8493,Like in 2018,1
@MagnificKCBEE,@Alyshastayflyy ,1
@GaylordRobinson,Talk,1
